filename,classification,confidence,model_version,processing_time_seconds,timestamp,text_length,error
Adams_1989.pdf,not-useful,0.35939544439315796,1.0.0,0.5106580257415771,2026-02-02T03:18:04.485316,27601,
Berg_2002.pdf,unknown,0.0,1.0.0,,2026-02-02T03:18:05.431344,,No text extracted from PDF
Dale_2011.pdf,not-useful,0.4046034812927246,1.0.0,0.4978008270263672,2026-02-02T03:18:06.053123,75685,
Fisher_2008.pdf,not-useful,0.35939544439315796,1.0.0,0.32041358947753906,2026-02-02T03:18:06.385193,54637,
Harris_2009.pdf,not-useful,0.3941650390625,1.0.0,0.270871639251709,2026-02-02T03:18:06.659290,48939,
Kerle_2000.pdf,not-useful,0.35939544439315796,1.0.0,0.2882812023162842,2026-02-02T03:18:06.954093,33742,
Marques_2015.pdf,not-useful,0.6508813202381134,1.0.0,0.33272790908813477,2026-02-02T03:18:07.305519,49378,
Pakhomov_1998.pdf,not-useful,0.35939544439315796,1.0.0,0.20516109466552734,2026-02-02T03:18:07.515447,30262,
Sousa_2015.pdf,not-useful,0.37260109186172485,1.0.0,0.35510683059692383,2026-02-02T03:18:07.875944,23718,
Wu_2005.pdf,not-useful,0.3673085570335388,1.0.0,0.8690674304962158,2026-02-02T03:18:08.778555,73418,
